fecha,tipo_institucion,roa,roe,morosidad,tamano_activo,ratio_eficiencia_operativa,margen_financiero_neto
2015-01-01,Banca Múltiple,2.0291453784736566,20.557654994377348,2.58,151247426.53099996,37.67228318114596,1073571.19564
2015-01-01,Cajas Municipales,1.77022768144024,13.257594324397779,6.65,15072684.712450001,61.2358252274044,150651.25294
2015-02-01,Banca Múltiple,2.051825544130165,20.746981976463484,2.58,152212915.72599998,42.40598378667567,1878386.3949100003
2015-02-01,Cajas Municipales,1.8097321277966043,13.5022618078361,7.36,15084743.91836,61.145145169997065,291602.7006200001
2015-03-01,Banca Múltiple,2.0698362094688636,20.90925969795751,2.54,162683563.725,41.49309554524308,2926935.4869500003
2015-03-01,Cajas Municipales,1.888499898837293,14.033659577901092,6.41,15062912.341140002,61.100681328975206,451567.04205
2015-04-01,Banca Múltiple,2.0933087332005225,21.145435630761526,2.6,164909193.62800002,42.250707556016245,3786176.7221900006
2015-04-01,Cajas Municipales,1.9127646017575353,14.153748839589253,6.54,15039608.169239998,61.35687269220128,604620.64341
2015-05-01,Banca Múltiple,2.165626777204548,21.898853229505814,2.67,168191134.88299996,42.67287622315174,4698377.392949998
2015-05-01,Cajas Municipales,1.9510943394614177,14.391210367650547,6.76,15388940.577359999,61.36610854983484,761170.5762799999
2015-06-01,Banca Múltiple,2.1686007023918394,21.945877443927678,2.69,169826660.82599998,42.87663210455413,5624544.84358
2015-06-01,Cajas Municipales,2.015887053435432,14.861650488838185,6.6,16115125.97508,61.2943039999811,916280.16006
2015-07-01,Banca Múltiple,2.1467378554747905,21.761620991988774,2.73,175747985.31599998,43.13409517972043,6637690.44046
2015-07-01,Cajas Municipales,2.0151927240260754,14.852215325238227,6.45,16148305.44184,61.12137637358456,1069987.6156900001
2015-08-01,Banca Múltiple,2.172764390724062,22.103267739024822,2.7,176870685.30400002,42.79209879556258,7682293.570549998
2015-08-01,Cajas Municipales,2.041917527298336,15.03642197500733,6.55,15979944.005369999,61.16455282096154,1230415.68486
2015-09-01,Banca Múltiple,2.151256495090363,21.957480303472966,2.58,183806571.475,42.85745459927626,8724436.962140003
2015-09-01,Cajas Municipales,2.0012049787370634,14.734497186364242,6.52,16212184.762570003,61.36703083173488,1389802.2657899999
2015-10-01,Banca Múltiple,2.1372409691013012,21.91246548267964,2.65,186840503.77200004,42.78087684797868,9824361.00662
2015-10-01,Cajas Municipales,2.0059837663099116,14.768395579389953,6.56,16370096.969549999,61.56813239013601,1554614.7820599999
2015-11-01,Banca Múltiple,2.134595129182538,22.001250642094355,2.62,190075551.69399998,42.75465568824893,10910794.70386
2015-11-01,Cajas Municipales,1.9672366038951035,14.489997305819735,6.6,16651568.224580001,61.47035805551554,1718776.3048599998
2015-12-01,Banca Múltiple,2.1391549486552237,22.12643458290136,2.54,190789307.5,43.027634383329605,12092898.809549998
2015-12-01,Cajas Municipales,1.9720811646266803,14.521203490776513,5.96,16671851.094890002,61.253232095566766,1906923.0360999997
2016-01-01,Banca Múltiple,2.0610758408987397,21.350899692714883,2.64,192976085.328,41.93615207389939,1206961.8305100002
2016-01-01,Cajas Municipales,1.9682421111416135,14.46988986092964,6.5,16468896.675399998,61.24025600614659,164780.46340000004
2016-02-01,Banca Múltiple,2.0632906947227023,21.397974585251532,2.71,195094148.84900004,42.81399386435767,2303282.7873300007
2016-02-01,Cajas Municipales,1.970528709834905,14.469029413068899,6.51,16513014.00123,61.37428459086356,327624.98737000005
2016-03-01,Banca Múltiple,2.033978097555845,21.120805614507624,2.7,196922803.54100004,43.438045921366516,3383707.6749200006
2016-03-01,Cajas Municipales,1.9473639628786,14.278985899912758,6.58,16692882.432200002,61.56113266338912,500077.30984
2016-04-01,Banca Múltiple,2.0208693124256643,20.959657714851996,2.77,197823806.76299998,43.42765971832396,4487539.67091
2016-04-01,Cajas Municipales,1.9883922483159642,14.565309682366145,6.61,16899128.63905,61.61738977251975,674760.4697100001
2016-05-01,Banca Múltiple,1.9908208441714803,20.62057434763725,2.86,196429920.902,43.07268885290769,5757152.63984
2016-05-01,Cajas Municipales,1.9840299190884907,14.499496140073436,6.79,17203617.385569997,61.88376754611139,855740.68619
2016-06-01,Banca Múltiple,1.972201079909249,20.34386310858004,2.87,196119730.01599997,43.26352724314622,6968925.808939999
2016-06-01,Cajas Municipales,1.9944114717503152,14.524234326529605,6.16,17519781.493580002,62.43284360719014,1040454.0779800001
2016-07-01,Banca Múltiple,1.9626772147880132,20.164688029882697,2.85,203263776.11199996,43.1540214089791,8180801.79161
2016-07-01,Cajas Municipales,1.995986798356623,14.490554927194616,6.39,17644150.908250004,62.89202481508006,1216646.6745900002
2016-08-01,Banca Múltiple,1.9326895758360056,19.737229634150573,2.91,201980687.16300002,43.06967619286796,9360662.453660002
2016-08-01,Cajas Municipales,2.0041234974961935,14.515328799063429,6.28,17883434.97366,63.27488962759173,1410874.9568500004
2016-09-01,Banca Múltiple,1.9608310795094472,19.86131981845121,2.86,203259634.36000004,42.988771419815116,10601920.424229998
2016-09-01,Cajas Municipales,2.0271006258842412,14.646872661008882,6.14,18102762.06843,63.623182147708754,1595492.0312799998
2016-10-01,Banca Múltiple,1.9724762354332044,19.785188707877026,2.95,202409433.85399997,42.92697359859747,11861688.905250002
2016-10-01,Cajas Municipales,2.0380904613001447,14.694576461333497,6.13,18392355.67997,63.832728447389044,1792270.74813
2016-11-01,Banca Múltiple,1.986135123726382,19.716584719470433,2.96,203717871.97599998,42.932222431348194,13043348.715349998
2016-11-01,Cajas Municipales,2.0340427185100665,14.642367462437672,6.03,18774184.01063,64.05705670480188,1980959.49534
2016-12-01,Banca Múltiple,2.0232175920112305,19.860078070696904,2.8,203306394.067,43.02035262833275,14363715.398960002
2016-12-01,Cajas Municipales,2.000018353683087,14.3990773653695,5.47,19153641.631370004,64.45026560021884,2174760.8337600003
2017-01-01,Banca Múltiple,2.035873815760199,19.753190092181313,2.96,204762527.9,40.6252166471938,1281823.4428600003
2017-01-01,Cajas Municipales,1.975121914753019,14.229811410623002,5.87,19175192.76098,64.60095878558336,186856.06579000002
2017-02-01,Banca Múltiple,2.016502318509154,19.31811459173754,2.98,208516092.15600002,42.68339578509865,2368339.0864499994
2017-02-01,Cajas Municipales,1.9443958098298162,14.018913438844491,6.03,19343169.859879997,64.69938423696937,358984.97306
2017-03-01,Banca Múltiple,2.038355934529998,19.32384679122179,3.01,208122029.708,42.159825397223685,3522288.3255800004
2017-03-01,Cajas Municipales,1.9108117756633736,13.803831459630086,5.86,19620686.07296,64.88046007469714,549251.78783
2017-04-01,Banca Múltiple,2.0420318728075695,19.18950910977861,3.06,209182341.01500005,42.409701475878585,4690232.79046
2017-04-01,Cajas Municipales,1.8469325311012392,13.375684480823525,5.97,19875394.28118,64.94778208607255,726670.9591200001
2017-05-01,Banca Múltiple,2.034389513203999,18.94644925080236,3.15,208089972.317,42.27152298560834,5954575.403699999
2017-05-01,Cajas Municipales,1.851689278546085,13.465544986372297,5.95,20341498.790319994,64.65844406898225,925201.38282
2017-06-01,Banca Múltiple,2.0515860012384426,18.959223077594533,3.09,205318745.108,42.52410190902157,7104492.5767399985
2017-06-01,Cajas Municipales,1.8419962823542837,13.443534273457042,5.81,20624244.537570003,64.11558363960324,1126721.10881
2017-07-01,Banca Múltiple,2.078110197671244,19.016327215975345,3.12,207747703.236,42.32312543221953,8359635.970420002
2017-07-01,Cajas Municipales,1.8568485716847443,13.603904596449448,5.9,20904290.90057,63.74905984630536,1329380.8575499998
2017-08-01,Banca Múltiple,2.099517834930729,19.0437134081969,3.11,216096597.55100003,42.22928448842383,9598651.676100003
2017-08-01,Cajas Municipales,1.8500826786866615,13.604009029328381,5.88,21217603.122690003,63.373430073164485,1538055.79923
2017-09-01,Banca Múltiple,2.085769574025364,18.773720022472908,3.08,218108654.891,42.2374149421059,10853227.46064
2017-09-01,Cajas Municipales,1.8330061092941243,13.525500635346061,5.85,21368187.921050005,62.77888672723155,1740666.5952099997
2017-10-01,Banca Múltiple,2.0732569634005262,18.533515598619825,3.14,220523413.579,42.34429188047624,12095017.97175
2017-10-01,Cajas Municipales,1.8132795338506171,13.423067912800882,5.99,21640908.78587,62.40408276945485,1945981.55209
2017-11-01,Banca Múltiple,2.074746488768102,18.410363790107834,3.12,221573902.52499998,42.45456761923385,13256670.633019995
2017-11-01,Cajas Municipales,1.815259506191924,13.473559949220594,5.8,22005855.35477,62.384480230493956,2154622.8449899997
2017-12-01,Banca Múltiple,2.0757560603746907,18.319902098404224,3.04,221267642.987,42.498514296389935,14248942.03162
2017-12-01,Cajas Municipales,1.7411244638507504,12.951677616559628,5.42,22119186.14687,62.31510554392794,2374855.62083
2018-01-01,Banca Múltiple,2.098325177038155,18.424600931501104,3.12,225039587.618,37.35392614100105,1181139.63521
2018-01-01,Cajas Municipales,1.744995787121946,13.016539573821587,5.78,22364243.071739998,61.93514870673466,198077.29596999998
2018-02-01,Banca Múltiple,2.111368437792191,18.44178975601071,3.24,226766511.378,40.72931535848939,2242638.90049
2018-02-01,Cajas Municipales,1.7409263579280267,13.022852407274224,6.08,22570234.920820005,61.61033622259008,382476.72501999995
2018-03-01,Banca Múltiple,2.140186481759066,18.607547407876766,3.07,225413855.41400003,40.75948604326925,3503268.442420001
2018-03-01,Cajas Municipales,1.7131770958591177,12.827180024610774,6.35,22502903.50844,61.23356300049247,578964.0072
2018-04-01,Banca Múltiple,2.1651701793721183,18.700937592630538,3.11,222916781.68599996,41.33606544234934,4751291.77568
2018-04-01,Cajas Municipales,1.7270798297961447,12.9483353678164,6.49,22751240.623839997,60.98333452451402,770880.0748299999
2018-05-01,Banca Múltiple,2.1828486570580203,18.74570252310046,3.14,221717644.926,41.27714868970887,6094244.60578
2018-05-01,Cajas Municipales,1.7069253923459566,12.815126557286932,6.41,23222038.565589998,61.012202279844615,991795.78932
2018-06-01,Banca Múltiple,2.1872819396770735,18.70221727251607,3.1,223830784.80499998,41.324168708063794,7200633.96408
