fecha,diferencia_roa,diferencia_roe,diferencia_morosidad,diferencia_tamano_activo,diferencia_ratio_eficiencia_operativa,diferencia_margen_financiero_neto
2015-01-01,0.2589176970334166,7.300060669979567,-4.07,136174741.81854996,-23.56354204625844,922919.9427
2015-02-01,0.24209341633356063,7.244720168627385,-4.78,137128171.80764,-18.739161383321395,1586783.6942900005
2015-03-01,0.18133631063157107,6.875600120056417,-3.87,147620651.38386,-19.607585783732127,2475368.4449000005
2015-04-01,0.18054413144298675,6.9916867911722775,-3.94,149869585.45876002,-19.106165136185034,3181556.0787800006
2015-05-01,0.21453243774313036,7.507642861855263,-4.09,152802194.30563995,-18.693232326683102,3937206.8166699987
2015-06-01,0.1527136489564076,7.084226955089498,-3.9099999999999997,153711534.85091996,-18.41767189542697,4708264.68352
2015-07-01,0.13154513144871505,6.909405666750542,-3.72,159599679.87416,-17.987281193864128,5567702.82477
2015-08-01,0.13084686342572605,7.066845764017492,-3.8499999999999996,160890741.29863003,-18.37245402539896,6451877.885689998
2015-09-01,0.1500515163532996,7.222983117108727,-3.9399999999999995,167594386.71243,-18.50957623245862,7334634.696350003
2015-10-01,0.13125720279138875,7.144069903289687,-3.9099999999999997,170470406.80245003,-18.787255542157325,8269746.224559999
2015-11-01,0.16735852528743433,7.511253336274619,-3.9799999999999995,173423983.46942002,-18.71570236726661,9192018.399
2015-12-01,0.16707378402854367,7.605231092124848,-3.42,174117456.40511,-18.22559771223716,10185975.773449998
2016-01-01,0.09283372975712689,6.881009831785242,-3.86,176507188.65260002,-19.304103932247195,1042181.3671100002
2016-02-01,0.09276198488779741,6.928945172182628,-3.8,178581134.84777004,-18.56029072650589,1975657.7999600007
2016-03-01,0.0866141346772451,6.841819714594866,-3.88,180229921.10880002,-18.123086742022593,2883630.365080001
2016-04-01,0.032477064109700304,6.394348032485857,-3.8400000000000003,180924678.12395,-18.189730054195792,3812779.2012
2016-05-01,0.006790925082989618,6.121078207563812,-3.93,179226303.51643002,-18.811078693203704,4901411.9536500005
2016-06-01,-0.0222103918410661,5.819628782050438,-3.29,178599948.52242,-19.169316364043915,5928471.730959999
2016-07-01,-0.03330958356861036,5.6741331026880815,-3.5399999999999996,185619625.20374998,-19.738003406100965,6964155.11702
2016-08-01,-0.07143392166018736,5.221900835087146,-3.37,184097252.18934,-20.205213434723774,7949787.496810001
2016-09-01,-0.06626954637479354,5.214447157442329,-3.28,185156872.29157004,-20.63441072789363,9006428.392949998
2016-10-01,-0.06561422586694032,5.090612246543527,-3.1799999999999997,184017078.17403,-20.905754848791567,10069418.157120002
2016-11-01,-0.04790759478368445,5.074217257032764,-3.0700000000000003,184943687.96537,-21.124834273453686,11062389.220009997
2016-12-01,0.023199238328143412,5.461000705327404,-2.67,184152752.43563,-21.42991297188609,12188954.565200001
2017-01-01,0.060751901007179976,5.523378681558315,-2.91,185587335.13902,-23.975742138389556,1094967.3770700004
2017-02-01,0.07210650867933821,5.299201152893048,-3.0500000000000003,189172922.29612,-22.01598845187072,2009354.1133899998
2017-03-01,0.1275441588666244,5.520015331591704,-2.8500000000000005,188501343.63504001,-22.720634677473456,2973036.53775
2017-04-01,0.1950993417063298,5.813824628955084,-2.9099999999999997,189306946.73382005,-22.538080610193965,3963561.8313399996
2017-05-01,0.18270023465791385,5.480904264430064,-2.8000000000000003,187748473.52668,-22.386921083373906,5029374.020879999
2017-06-01,0.20958971888415867,5.515688804137492,-2.7199999999999998,184694500.57043,-21.591481730581677,5977771.467929999
2017-07-01,0.22126162598649946,5.412422619525897,-2.7800000000000002,186843412.33543,-21.42593441408583,7030255.112870002
2017-08-01,0.24943515624406798,5.439704378868521,-2.77,194878994.42831004,-21.144145584740656,8060595.876870004
2017-09-01,0.2527634647312398,5.2482193871268485,-2.7699999999999996,196740466.96995,-20.54147178512565,9112560.865430001
2017-10-01,0.2599774295499093,5.110447685818944,-2.85,198882504.79312998,-20.05979088897861,10149036.41966
2017-11-01,0.2594869825761781,4.936803840887244,-2.6799999999999997,199568047.17023,-19.929912611260114,11102047.788029997
2017-12-01,0.33463159652394037,5.368224481844596,-2.38,199148456.84013,-19.816591247538007,11874086.41079
2018-01-01,0.3533293899162089,5.408061357679516,-2.66,202675344.54626,-24.58122256573361,983062.33924
2018-02-01,0.37044207986416433,5.4189373487364865,-2.84,204196276.45718,-20.88102086410069,1860162.17547
