variable,rezago,diferencia_promedio,error_estandar_hac,estadistico_t,valor_p
diferencia_roa,3,0.6531105317720999,0.07466915146927883,8.74672497170146,2.1963414447608515e-18
diferencia_roa,6,0.6531105317720999,0.09752811887398952,6.696638254819069,2.132686775101462e-11
diferencia_roa,12,0.6531105317720999,0.128205030916955,5.0942660135946864,3.5009491595108186e-07
diferencia_roa,18,0.6531105317720999,0.14847981933010046,4.398648481111794,1.089270909888393e-05
diferencia_roa,24,0.6531105317720999,0.1627848594022234,4.0121085841179855,6.0178806557665076e-05
diferencia_roe,3,6.890933191831844,0.383585084447765,17.964549382185954,3.692644192346467e-72
diferencia_roe,6,6.890933191831844,0.4889999959956517,14.091888033252909,4.2601761151791853e-45
diferencia_roe,12,6.890933191831844,0.6015391575503941,11.455502281669094,2.2068026654210483e-30
diferencia_roe,18,6.890933191831844,0.6427770952317869,10.720564318408012,8.150452183343204e-27
diferencia_roe,24,6.890933191831844,0.6509802904495678,10.58547131599477,3.480248141882735e-26
diferencia_morosidad,3,-2.832651643562277,0.1561551311025019,-18.13998440885618,1.5407486814439012e-73
diferencia_morosidad,6,-2.832651643562277,0.20109239806422363,-14.086318880426314,4.609716075767917e-45
diferencia_morosidad,12,-2.832651643562277,0.26091037560258423,-10.856799531333857,1.851239615135552e-27
diferencia_morosidad,18,-2.832651643562277,0.3005139631323104,-9.426023383529492,4.2593149104096435e-21
diferencia_morosidad,24,-2.832651643562277,0.32595258151063106,-8.690379534453507,3.6123066653222805e-18
diferencia_tamano_activo,3,253179393.0160247,10249153.834150875,24.70246784397106,1.0061357987194101e-134
diferencia_tamano_activo,6,253179393.0160247,13387938.335488033,18.911006808636866,9.257238371275845e-80
diferencia_tamano_activo,12,253179393.0160247,17774700.78521925,14.243806186968778,4.898474607454503e-46
diferencia_tamano_activo,18,253179393.0160247,20915975.028218437,12.104594343531772,9.986182411414997e-34
diferencia_tamano_activo,24,253179393.0160247,23329257.311655022,10.852441191496451,1.941689707749395e-27
diferencia_ratio_eficiencia_operativa,3,-19.528797856568055,0.35816829679581696,-54.524082760180605,0.0
diferencia_ratio_eficiencia_operativa,6,-19.528797856568055,0.4474966302787282,-43.640100360988924,0.0
diferencia_ratio_eficiencia_operativa,12,-19.528797856568055,0.5405213221444801,-36.12956058622984,7.791981283590944e-286
diferencia_ratio_eficiencia_operativa,18,-19.528797856568055,0.5705016460429155,-34.23092289395255,8.385931165825582e-257
diferencia_ratio_eficiencia_operativa,24,-19.528797856568055,0.5655465437659738,-34.53084113382749,2.7641507224890256e-261
diferencia_margen_financiero_neto,3,6802077.311841289,540413.9163269708,12.586791543180349,2.4961459901397266e-36
diferencia_margen_financiero_neto,6,6802077.311841289,543504.901037951,12.515208784412275,6.164557182941735e-36
diferencia_margen_financiero_neto,12,6802077.311841289,492564.81439410534,13.809507120821033,2.233545352951454e-43
diferencia_margen_financiero_neto,18,6802077.311841289,552952.4870008369,12.301377553675772,8.904245841313008e-35
diferencia_margen_financiero_neto,24,6802077.311841289,522850.21416081244,13.009609879875045,1.0789147474562418e-38
